dieharder -a -f ANU-QRNG-LiveStreamData-Formatted.txt 
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|ANU-QRNG-LiveStreamData-Formatted.txt|  7.06e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.98741752|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.66276480|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.61928488|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.35926407|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.66828798|  PASSED  
        diehard_opso|   0|   2097152|     100|0.49818052|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.80738199|  PASSED  
         diehard_dna|   0|   2097152|     100|0.16081602|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.18751383|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.17230213|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.59549008|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.09561978|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.88606183|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.79126228|  PASSED  
        diehard_sums|   0|       100|     100|0.00382799|   WEAK   
        diehard_runs|   0|    100000|     100|0.23720916|  PASSED  
        diehard_runs|   0|    100000|     100|0.55686660|  PASSED  
       diehard_craps|   0|    200000|     100|0.80646841|  PASSED  
       diehard_craps|   0|    200000|     100|0.63700582|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62583751|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.65351775|  PASSED  
         sts_monobit|   1|    100000|     100|0.73366132|  PASSED  
            sts_runs|   2|    100000|     100|0.10493853|  PASSED  
          sts_serial|   1|    100000|     100|0.99991623|   WEAK   
          sts_serial|   2|    100000|     100|0.45615870|  PASSED  
          sts_serial|   3|    100000|     100|0.25422010|  PASSED  
          sts_serial|   3|    100000|     100|0.72143003|  PASSED  
          sts_serial|   4|    100000|     100|0.76273316|  PASSED  
          sts_serial|   4|    100000|     100|0.80993840|  PASSED  
          sts_serial|   5|    100000|     100|0.69472446|  PASSED  
          sts_serial|   5|    100000|     100|0.81292709|  PASSED  
          sts_serial|   6|    100000|     100|0.53741835|  PASSED  
          sts_serial|   6|    100000|     100|0.69865854|  PASSED  
          sts_serial|   7|    100000|     100|0.57166081|  PASSED  
          sts_serial|   7|    100000|     100|0.48333053|  PASSED  
          sts_serial|   8|    100000|     100|0.99851649|   WEAK   
          sts_serial|   8|    100000|     100|0.97259611|  PASSED  
          sts_serial|   9|    100000|     100|0.41545856|  PASSED  
          sts_serial|   9|    100000|     100|0.97366424|  PASSED  
          sts_serial|  10|    100000|     100|0.70703791|  PASSED  
          sts_serial|  10|    100000|     100|0.77348047|  PASSED  
          sts_serial|  11|    100000|     100|0.84693730|  PASSED  
          sts_serial|  11|    100000|     100|0.85145827|  PASSED  
          sts_serial|  12|    100000|     100|0.87251417|  PASSED  
          sts_serial|  12|    100000|     100|0.53744174|  PASSED  
          sts_serial|  13|    100000|     100|0.98741246|  PASSED  
          sts_serial|  13|    100000|     100|0.91395652|  PASSED  
          sts_serial|  14|    100000|     100|0.52892676|  PASSED  
          sts_serial|  14|    100000|     100|0.93216835|  PASSED  
          sts_serial|  15|    100000|     100|0.88595031|  PASSED  
          sts_serial|  15|    100000|     100|0.79665817|  PASSED  
          sts_serial|  16|    100000|     100|0.91462240|  PASSED  
          sts_serial|  16|    100000|     100|0.74129910|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.65437146|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.99649544|   WEAK   
         rgb_bitdist|   3|    100000|     100|0.83175382|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.00396062|   WEAK   
         rgb_bitdist|   5|    100000|     100|0.97158954|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.74473212|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.65059437|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.92613059|  PASSED  
