dieharder -a -f IBMQ-Output-Formatted-1.txt 
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|     IBMQ-Output-Formatted-1.txt|  7.11e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.08074118|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.38824336|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.61438451|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.14110540|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.75884764|  PASSED  
        diehard_opso|   0|   2097152|     100|0.73505975|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.84645155|  PASSED  
         diehard_dna|   0|   2097152|     100|0.88453348|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.00733913|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.74006665|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.70447638|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.48051306|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.76715723|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.80024209|  PASSED  
        diehard_sums|   0|       100|     100|0.63657113|  PASSED  
        diehard_runs|   0|    100000|     100|0.45769906|  PASSED  
        diehard_runs|   0|    100000|     100|0.40005263|  PASSED  
       diehard_craps|   0|    200000|     100|0.87825535|  PASSED  
       diehard_craps|   0|    200000|     100|0.59716432|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93605752|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.78760906|  PASSED  
         sts_monobit|   1|    100000|     100|0.09778244|  PASSED  
            sts_runs|   2|    100000|     100|0.87389812|  PASSED  
          sts_serial|   1|    100000|     100|0.77046321|  PASSED  
          sts_serial|   2|    100000|     100|0.45711759|  PASSED  
          sts_serial|   3|    100000|     100|0.05465045|  PASSED  
          sts_serial|   3|    100000|     100|0.50411938|  PASSED  
          sts_serial|   4|    100000|     100|0.08824264|  PASSED  
          sts_serial|   4|    100000|     100|0.57012780|  PASSED  
          sts_serial|   5|    100000|     100|0.30750081|  PASSED  
          sts_serial|   5|    100000|     100|0.71961551|  PASSED  
          sts_serial|   6|    100000|     100|0.78012953|  PASSED  
          sts_serial|   6|    100000|     100|0.91683582|  PASSED  
          sts_serial|   7|    100000|     100|0.18153196|  PASSED  
          sts_serial|   7|    100000|     100|0.77129320|  PASSED  
          sts_serial|   8|    100000|     100|0.20277419|  PASSED  
          sts_serial|   8|    100000|     100|0.13332678|  PASSED  
          sts_serial|   9|    100000|     100|0.36061051|  PASSED  
          sts_serial|   9|    100000|     100|0.05051710|  PASSED  
          sts_serial|  10|    100000|     100|0.58187129|  PASSED  
          sts_serial|  10|    100000|     100|0.41591273|  PASSED  
          sts_serial|  11|    100000|     100|0.13603740|  PASSED  
          sts_serial|  11|    100000|     100|0.05547757|  PASSED  
          sts_serial|  12|    100000|     100|0.40231833|  PASSED  
          sts_serial|  12|    100000|     100|0.87534256|  PASSED  
          sts_serial|  13|    100000|     100|0.66454597|  PASSED  
          sts_serial|  13|    100000|     100|0.73600809|  PASSED  
          sts_serial|  14|    100000|     100|0.86781755|  PASSED  
          sts_serial|  14|    100000|     100|0.82179082|  PASSED  
          sts_serial|  15|    100000|     100|0.05187905|  PASSED  
          sts_serial|  15|    100000|     100|0.01426900|  PASSED  
          sts_serial|  16|    100000|     100|0.09229596|  PASSED  
          sts_serial|  16|    100000|     100|0.83713875|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.20318389|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.98626503|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.97869339|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.55998865|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.84051698|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.42807332|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.63404372|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.17331043|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.70952342|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.78781329|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.36566769|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.25818078|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.79443813|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.53510711|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.30945331|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.07474237|  PASSED  
    rgb_permutations|   2|    100000|     100|0.98778564|  PASSED  
    rgb_permutations|   3|    100000|     100|0.05715678|  PASSED  
    rgb_permutations|   4|    100000|     100|0.94905825|  PASSED  
