Test Data File:C:/Users/Arda/Desktop/Hexagon Files/Data Sets/Mersenne Twister/MATLABMT11-Oct-2020.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.45929999432958124 	Random
02. Frequency Test within a Block                 	0.773289170190044   	Random
03. Run Test                                      	0.9024652975515599  	Random
04. Longest Run of Ones in a Block                	0.45303081021023994 	Random
05. Binary Matrix Rank Test                       	0.38594886403822704 	Random
06. Discrete Fourier Transform (Spectral) Test    	0.0735435438713434  	Random
07. Non-Overlapping Template Matching Test        	0.6001603399644373  	Random
08. Overlapping Template Matching Test            	0.09506486524648847 	Random
09. Maurer's Universal Statistical test           	0.3421294716015445  	Random
10. Linear Complexity Test                        	0.5171563077531303  	Random
11. Serial test:
													0.623753749965466   	Random
													0.07319250143525058 	Random
12. Approximate Entropy Test                      	0.007080911078720608	Non-Random
13. Cummulative Sums (Forward) Test               	0.42224542634752366 	Random
14. Cummulative Sums (Reverse) Test               	0.7111094602968697  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	6.107956740677603   	0.2958555733731469  	Random
				-3        	0.17170852713178317 	0.9993886801593586  	Random
				-2        	0.9130698312438191  	0.9692682222290031  	Random
				-1        	0.6666666666666666  	0.984747879018509   	Random
				+1        	3.116279069767442   	0.6820644941877498  	Random
				+2        	3.9633138737359235  	0.5547098871764714  	Random
				+3        	8.127578294573642   	0.14934328232464483 	Random
				+4        	0.8272844970926195  	0.9752605074927505  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	983                 	0.19762158993478163 	Random
				-8.0      	905                 	0.38996178996314024 	Random
				-7.0      	843                 	0.6266848845328965  	Random
				-6.0      	820                 	0.7244530392554115  	Random
				-5.0      	796                 	0.8521411753309467  	Random
				-4.0      	808                 	0.7439543791942074  	Random
				-3.0      	817                 	0.6250097719255718  	Random
				-2.0      	788                 	0.8372295080409007  	Random
				-1.0      	765                 	0.8190648974453345  	Random
				+1.0      	800                 	0.5087231769017859  	Random
				+2.0      	813                 	0.5671234308971379  	Random
				+3.0      	793                 	0.8290151277976736  	Random
				+4.0      	720                 	0.6039341297326354  	Random
				+5.0      	637                 	0.24577060866169442 	Random
				+6.0      	547                 	0.08193305367319967 	Random
				+7.0      	510                 	0.06274393499611425 	Random
				+8.0      	541                 	0.12624932077265916 	Random
				+9.0      	512                 	0.10629553493169862 	Random
